date,type,qty_a,actif_a_id,price,qty_v,actif_v_id,destination,qty_f,actif_f_id,origin,value_f,value_a,id
06-08-24 10:35:00,Swap,14583.3333,ankr,0.024,349.9999992,tether,Bitget,14.5833333,ankr,,,0.024,135
06-08-24 10:35:00,Swap,33783.78,nervos-network,0.0074,249.999972,tether,Bitget,33.78378,nervos-network,,,0.0074,136
12-08-24 08:23:00,Transfert,169.959801526,autonolas,,,,Bitget,0.000109859,ethereum,Trust Wallet (ETH),2552.7,0.794,137
12-08-24 22:07:00,Transfert,1388.18776,cardano,,,,Binance,0.164049,cardano,Ledger,,0.3353,138
13-08-24 02:31:00,Swap,471.92,tether,2.94117647058824,1388.0,cardano,Binance,0.47192,tether,,,1.0,139
27-08-24 10:15:00,Transfert,3357.942831,tether,,,,Quantfury,1.0,tether,Bitget,,1.0,140
03-09-24 12:00:00,Swap,7938.496071,router-protocol-2,0.03000300030003,238.1787,route,KuCoin,,,,,0.04620462,141
16-09-24 16:05:00,Transfert,471.495488,tether,,,,Quantfury,1.5,tether,Binance,,1.0,142
22-09-24 21:38:00,Swap,954.876,tether,0.6283538386136,600.0,fetch-ai,Bitget,0.954876,tether,,,1.0,143
22-09-24 22:07:00,Swap,1163.5,tether,0.00214868929952729,2.5,bittensor,Bitget,1.1634812,tether,,,1.0,144
22-09-24 22:28:00,Swap,584.0,fetch-ai,1.63230321917808,953.26508,tether,Bitget,0.584,fetch-ai,,,1.63230321917808,145
23-09-24 00:58:00,Swap,2.416,bittensor,480.965149006623,1162.0118,tether,Bitget,0.002416,bittensor,,,480.965149006623,146
24-09-24 16:54:00,Swap,1680.0,tether,0.00178571428571429,3.0,bittensor,Bitget,1.68,tether,,,1.0,147
24-09-24 16:57:00,Swap,1014.0,tether,0.591715976331361,600.0,fetch-ai,Bitget,0.954876,tether,,,1.0,148
26-09-24 12:00:00,Airdrop,2860.0,hamster-kombat,,,,Binance,,,,,0.014,149
26-09-24 14:23:00,Swap,25.88586,tether,110.464168468809,2859.46,hamster-kombat,Binance,0.02588586,tether,,,1.0,150
27-09-24 08:10:00,Swap,3.0,bittensor,556.9,1670.7,tether,Bitget,0.003,bittensor,,,556.9,151
27-09-24 08:30:00,Swap,611.0,fetch-ai,1.66965,1020.15615,tether,Bitget,0.611,fetch-ai,,,1.66965,152
29-09-24 20:20:00,Swap,1695.9,tether,0.00176897222713603,3.0,bittensor,Bitget,1.6959,tether,,,1.0,153
14-10-24 19:22:00,Swap,216.2835,tether,0.46189376443418,99.9,frax-share,Binance,0.2162835,tether,,,1.0,154
14-10-24 19:23:00,Swap,42.97,render-token,5.62762555299046,241.819070012,tether,Binance,0.04297,render-token,,,5.62762555299046,155
14-10-24 21:32:00,Swap,137.462,tether,0.643086816720257,88.4,havven,Binance,0.137462,tether,,,1.0,156
14-10-24 21:33:00,Swap,24.44,render-token,5.621,137.37724,tether,Binance,0.02444,render-token,,,5.621,157
