date,open,high,low,close,id,cg_id
21-07-2017,1.051225,1.059465,1.050055,1.05733,fiat_chf_21072017,fiat_chf
22-07-2017,1.051225,1.059465,1.050055,1.05733,fiat_chf_22072017,fiat_chf
23-07-2017,1.057805,1.058705,1.055325,1.05647,fiat_chf_23072017,fiat_chf
24-07-2017,1.056795,1.05758,1.049795,1.049905,fiat_chf_24072017,fiat_chf
25-07-2017,1.050095,1.052785,1.042145,1.05173,fiat_chf_25072017,fiat_chf
26-07-2017,1.051915,1.05371,1.034945,1.036335,fiat_chf_26072017,fiat_chf
27-07-2017,1.03645,1.03801,1.02804,1.032235,fiat_chf_27072017,fiat_chf
28-07-2017,1.03645,1.03801,1.02804,1.032235,fiat_chf_28072017,fiat_chf
29-07-2017,1.03645,1.03801,1.02804,1.032235,fiat_chf_29072017,fiat_chf
30-07-2017,1.031695,1.037695,1.02957,1.03421,fiat_chf_30072017,fiat_chf
31-07-2017,1.03444,1.038295,1.03264,1.03549,fiat_chf_31072017,fiat_chf
01-08-2017,1.03578,1.036425,1.029445,1.029665,fiat_chf_01082017,fiat_chf
02-08-2017,1.02999,1.03391,1.02907,1.03253,fiat_chf_02082017,fiat_chf
03-08-2017,1.032635,1.034015,1.02413,1.02792,fiat_chf_03082017,fiat_chf
04-08-2017,1.032635,1.034015,1.02413,1.02792,fiat_chf_04082017,fiat_chf
05-08-2017,1.032635,1.034015,1.02413,1.02792,fiat_chf_05082017,fiat_chf
06-08-2017,1.027785,1.02972,1.025985,1.027445,fiat_chf_06082017,fiat_chf
07-08-2017,1.02779,1.02989,1.02323,1.026575,fiat_chf_07082017,fiat_chf
08-08-2017,1.026505,1.040355,1.02602,1.03777,fiat_chf_08082017,fiat_chf
09-08-2017,1.037635,1.039615,1.033565,1.03894,fiat_chf_09082017,fiat_chf
10-08-2017,1.0389,1.043395,1.03745,1.039375,fiat_chf_10082017,fiat_chf
11-08-2017,1.0389,1.043395,1.03745,1.039375,fiat_chf_11082017,fiat_chf
12-08-2017,1.0389,1.043395,1.03745,1.039375,fiat_chf_12082017,fiat_chf
13-08-2017,1.038985,1.039725,1.027415,1.028595,fiat_chf_13082017,fiat_chf
14-08-2017,1.02888,1.030685,1.024705,1.028135,fiat_chf_14082017,fiat_chf
15-08-2017,1.02834,1.03644,1.02396,1.0354,fiat_chf_15082017,fiat_chf
16-08-2017,1.035405,1.041085,1.031055,1.038435,fiat_chf_16082017,fiat_chf
17-08-2017,1.038355,1.04312,1.03411,1.03617,fiat_chf_17082017,fiat_chf
18-08-2017,1.038355,1.04312,1.03411,1.03617,fiat_chf_18082017,fiat_chf
19-08-2017,1.038355,1.04312,1.03411,1.03617,fiat_chf_19082017,fiat_chf
20-08-2017,1.03595,1.041595,1.03245,1.039565,fiat_chf_20082017,fiat_chf
21-08-2017,1.03972,1.04003,1.03212,1.03266,fiat_chf_21082017,fiat_chf
22-08-2017,1.033315,1.03717,1.03113,1.0356,fiat_chf_22082017,fiat_chf
23-08-2017,1.035935,1.03949,1.03424,1.035735,fiat_chf_23082017,fiat_chf
24-08-2017,1.035805,1.047045,1.034885,1.04516,fiat_chf_24082017,fiat_chf
25-08-2017,1.035805,1.047045,1.034885,1.04516,fiat_chf_25082017,fiat_chf
26-08-2017,1.035805,1.047045,1.034885,1.04516,fiat_chf_26082017,fiat_chf
27-08-2017,1.047185,1.049675,1.044,1.046745,fiat_chf_27082017,fiat_chf
28-08-2017,1.046815,1.060645,1.04595,1.04671,fiat_chf_28082017,fiat_chf
29-08-2017,1.0464,1.04836,1.036745,1.03774,fiat_chf_29082017,fiat_chf
30-08-2017,1.03819,1.043545,1.03303,1.04304,fiat_chf_30082017,fiat_chf
31-08-2017,1.04314,1.046855,1.03599,1.03633,fiat_chf_31082017,fiat_chf
01-09-2017,1.04314,1.046855,1.03599,1.03633,fiat_chf_01092017,fiat_chf
02-09-2017,1.04314,1.046855,1.03599,1.03633,fiat_chf_02092017,fiat_chf
03-09-2017,1.042175,1.04688,1.039705,1.043735,fiat_chf_03092017,fiat_chf
04-09-2017,1.044735,1.04882,1.0401,1.0467,fiat_chf_04092017,fiat_chf
05-09-2017,1.04698,1.049525,1.043565,1.045105,fiat_chf_05092017,fiat_chf
06-09-2017,1.045495,1.0533,1.04228,1.052065,fiat_chf_06092017,fiat_chf
07-09-2017,1.052025,1.06145,1.051575,1.05919,fiat_chf_07092017,fiat_chf
08-09-2017,1.052025,1.06145,1.051575,1.05919,fiat_chf_08092017,fiat_chf
